dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,mobilenetv3_large_100,8,pass,232,1,5,4,0,0,0,39.486427,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,dm_nfnet_f0,8,pass,595,1,5,4,0,0,0,38.241243,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,fbnetv3_b,8,pass,455,1,5,4,0,0,0,64.938219,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,lcnet_050,8,pass,125,1,5,4,0,0,0,25.167901,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,swin_base_patch4_window7_224,8,pass,1465,1,5,4,0,0,0,61.879422,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,coat_lite_mini,8,pass,460,1,5,4,0,0,0,38.462811,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,volo_d1_224,8,pass,508,1,5,4,0,0,0,41.470886,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,gernet_l,8,pass,246,1,5,4,0,0,0,29.275764,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,mobilevit_s,8,pass,359,2,5,4,0,0,0,57.814075,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,levit_128,8,pass,616,1,5,4,0,0,0,47.194261,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,swsl_resnext101_32x16d,8,pass,449,1,5,4,0,0,0,51.656026,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,res2net50_14w_8s,8,pass,848,1,5,4,0,0,0,89.803014,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,mixer_b16_224,8,pass,199,1,5,4,0,0,0,17.513534,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,convit_base,8,pass,1142,3,6,4,0,0,0,63.492091,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,nfnet_l0,8,pass,521,1,5,4,0,0,0,33.492774,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,xcit_large_24_p8_224,8,pass_due_to_skip,1141,2,5,4,0,0,0,86.046218,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,convmixer_768_32,8,pass,296,1,5,4,0,0,0,33.114255,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,dpn107,8,pass,630,1,5,4,0,0,0,79.440765,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,ghostnet_100,8,pass,401,1,5,4,0,0,0,66.795874,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,pit_b_224,8,pass,306,1,5,4,0,0,0,25.589283,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,tf_efficientnet_b0,8,pass,298,1,5,4,0,0,0,44.303197,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,gluon_inception_v3,8,pass,408,1,5,4,0,0,0,6.532091,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,res2next50,8,pass,480,1,5,4,0,0,0,53.795306,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,convnext_base,8,pass,455,1,5,4,0,0,0,40.390336,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,resmlp_12_224,8,pass,175,1,5,4,0,0,0,14.409199,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,tf_mixnet_l,8,pass,609,1,5,4,0,0,0,66.918185,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,resnest101e,8,pass,1024,1,5,4,0,0,0,93.261998,inductor_timm_models_float16_training_xpu_accuracy.csv
xpu,pnasnet5large,8,pass,1197,1,5,4,0,0,0,167.551812,inductor_timm_models_float16_training_xpu_accuracy.csv
