2:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests,test_get_device_properties_tensor_device
684:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_large__refs_asinh_xpu_complex32
685:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_large__refs_asinh_xpu_complex64
686:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal_nn_functional_tanhshrink_xpu_complex64
687:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal_polygamma_polygamma_n_1_xpu_float16
688:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal_polygamma_polygamma_n_2_xpu_float16
689:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal_polygamma_polygamma_n_3_xpu_float16
690:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal_polygamma_polygamma_n_4_xpu_float16
691:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal_round_decimals_3_xpu_bfloat16
692:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_large_acosh_xpu_complex64
693:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_large_asinh_xpu_complex128
694:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_large_asinh_xpu_complex32
695:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_large_asinh_xpu_complex64
696:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal__refs_asinh_xpu_complex64
698:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_acos_xpu_complex64
